date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-17,AL,14,1.6217952311048007,1.616896298108334,1.4881543325949451,1.7468489818697917,269.8990395344406,63.458409231080104,28.33035751390271,8,0,8,8,0
2020-03-18,AL,15,1.5612379364759656,1.5579029762416734,1.4370471013695396,1.6865666583259389,301.04701513347266,74.95320442066874,35.412946892378386,10,10,10,10,0
2020-03-19,AL,16,1.5033571084811894,1.501449870211346,1.3999728211219589,1.6273937248305457,333.22654200845,86.8064657499786,77.90848316323245,22,22,22,22,0
2020-03-20,AL,17,1.4500711085344995,1.44456793783766,1.3343589907245692,1.56122399121051,365.8959626159629,100.81484809806332,46.036830960091905,13,13,13,13,0
2020-03-21,AL,18,1.3969870267277371,1.397453361825845,1.286037825714495,1.5104974279966408,398.5045449013344,116.5053784043908,152.2756716372271,43,43,43,43,0
2020-03-22,AL,19,1.3474246738480955,1.3472520523491816,1.2437522427974168,1.4474529116579569,430.6247908430413,134.63107187248093,49.57812564932975,14,1450,1450,14,0
2020-03-23,AL,20,1.2994618160903804,1.2974599229921373,1.2041960178309403,1.3978036023851272,461.51477929531853,153.90271277400203,102.69754598789734,29,230,230,29,0
2020-03-24,AL,21,1.2533318406274974,1.2538331095091635,1.1640575047988395,1.3525402471994843,491.1802544445803,175.31278162801976,169.9821450834163,48,489,489,48,0
2020-03-25,AL,22,1.2074607908719186,1.2071124680990484,1.1109172461011596,1.2885756330279692,518.7565130462294,198.71490332114743,240.80803886817296,68,491,491,68,0
2020-03-26,AL,23,1.1674835888949993,1.166865056325542,1.075879694671767,1.2507063437461028,543.768103471201,223.88117472244627,789.7087157000377,223,1287,1287,223,1
2020-03-27,AL,24,1.1293495476283968,1.125916271146108,1.0339583438835482,1.2086275961148438,565.7637121936883,250.5575622870204,286.8448698282649,81,672,672,81,2
2020-03-28,AL,25,1.0975106619410062,1.0942869330986786,1.0049671634702573,1.1762994189184486,584.4858532512959,278.70473132857285,386.0011211269244,109,109,109,109,0
